Event Name,Opening,Individual Dates and Times,Show Notes,Total Events,Piano Tuning?,Series,Venue,Staff,After Today,Within Next Quarter,Within Next Month,Parsed Date,Parsed Time,Status
"Mansfield Symphony:
Star Wars and The Planets",5/16/2026,"Saturday, May 16, 2026 at 7:30pm",,1,TRUE,Symphony,Main Stage,,FALSE,TRUE,TRUE,05/16/2026,7:30 PM,Success
"Youth Orchestra & Strings:
Spring Concert",5/17/2026,"Sunday, May 17, 2026 at 3:30pm",,1,TRUE,Education,Main Stage,,FALSE,TRUE,TRUE,05/17/2026,3:30 PM,Success
Lizzie,5/29/2026,"Friday, May 29, 2026 at 7:30pm",06 Lizzie,6,TRUE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,05/29/2026,7:30 PM,Success
Lizzie,5/29/2026,"Saturday, May 30, 2026 at 7:30pm",06 Lizzie,6,TRUE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,05/30/2026,7:30 PM,Success
Lizzie,5/29/2026,"Sunday, May 31, 2026 at 2:30pm",06 Lizzie,6,TRUE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,05/31/2026,2:30 PM,Success
Lizzie,5/29/2026,"Friday, June 5, 2026 at 7:30pm",06 Lizzie,6,TRUE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,06/05/2026,7:30 PM,Success
Lizzie,5/29/2026,"Saturday, June 6, 2026 at 7:30pm",06 Lizzie,6,TRUE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,06/06/2026,7:30 PM,Success
Lizzie,5/29/2026,"Sunday, June 7, 2026 at 2:30pm",06 Lizzie,6,TRUE,Innovation,Theatre 166,,FALSE,TRUE,TRUE,06/07/2026,2:30 PM,Success
Broadway Camp! (2026),6/15/2026,"Monday, June 15, 2026 at 8:30am–11:30am",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/15/2026,8:30 AM,Success
Broadway Camp! (2026),6/15/2026,"Tuesday, June 16, 2026 at 8:30am–11:30am",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/16/2026,8:30 AM,Success
Broadway Camp! (2026),6/15/2026,"Wednesday, June 17, 2026 at 8:30am–11:30am",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/17/2026,8:30 AM,Success
Broadway Camp! (2026),6/15/2026,"Thursday, June 18, 2026 at 8:30am–12:00pm",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/18/2026,8:30 AM,Success
Broadway Camp! (2026),6/15/2026,"Thursday, June 18, 2026 at 12:00pm",,5,FALSE,Education,Theatre 166,,FALSE,TRUE,TRUE,06/18/2026,12:00 PM,Success
Mansfield Symphony: 1776,6/20/2026,"Saturday, June 20, 2026 at 7:30pm",07 1776,1,FALSE,Symphony,TBD,,FALSE,TRUE,TRUE,06/20/2026,7:30 PM,Success
Broadway Camp Showz! (2026),6/22/2026,"Monday, June 22, 2026 at 8:30am–2:30pm",,6,FALSE,Education,Main Stage,,FALSE,TRUE,TRUE,06/22/2026,8:30 AM,Success
